,message,class_num,class_label
0,You can meet us virtually anywhere. Wonder how your major can translate into a successful career? Curious how to apply your interests and experiences to your future? Have questions about the recruiting,0,ham
1,View on Webpage Murad Logo Anti-Aging Acne Products All Products Offers Join Our Inner Circle FB TW Pin IG G+ YT Blog Samples Beauty Rewards Questions Login Contact Us Store Locator Our Story Offers,1,spam
2,"Read more than 300000 e-books on NYPL&#39;s app. View in browser Forward Dear Friend, Have you tried SimplyE? This e-reader app from The New York Public Library offers instant access to multiple e-book",1,spam
3,Free Deluxe Sample of Advanced Active Radiance Serum w/ Any Purchase View on Webpage Murad Logo Anti-Aging Acne Products All Products Offers 2 Days Only FB TW Pin IG G+ YT Blog Samples Beauty Rewards,1,spam
4,View this email in your browser NEW FROM BLURHMS adidas Originals UPCOMING RELEASES Please stay tuned to social media for full release details. CONNECT WITH US Instagram Twitter Facebook Vimeo Fight,0,ham
5,"One day only. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Instagram Facebook Twitter Help &amp; FAQ&#39;s | 1-877-294-7737 | Returns Bonobos, Inc. 45 W. 25th Street 5th Floor, New York, NY 10010 To",0,ham
6,"NBA: &quot;NBA Game Spotlight: Cavaliers at Pacers Game 4&quot; Andres, check out the latest video from your channel subscriptions for Apr 26, 2017. NBA Game Spotlight: Cavaliers at Pacers Game 4 1 day",1,spam
7,"Now&#39;s your chance - our most popular offer! Expires 4/30/2017 View Offer LA Fitness logo You&#39;ve got options Exclusive online offer Join with multi-club, single-state access or single club",1,spam
8,"This deal ends today. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Instagram Facebook Twitter Help &amp; FAQ&#39;s | 1-877-294-7737 | Returns Bonobos, Inc. 45 W. 25th Street 5th Floor, New York, NY",0,ham
9,View on Webpage Murad Logo Anti-Aging Acne Products All Products Offers Hydro-Glow Aqua Peel Supplements Goji Recipe FB TW Pin IG G+ YT Blog Samples Beauty Rewards Questions Login Contact Us Store,1,spam
10,"From over 130 destinations to fly to, you&#39;re sure to find what you&#39;re looking for. Quick because this offer will fly! - If you have problems to view this message, click here We âù_ summer at â‚¬19,",0,ham
11,"48 hours of saving starts now. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Instagram Facebook Twitter Help &amp; FAQ&#39;s | 1-877-294-7737 | Returns Bonobos, Inc. 45 W. 25th Street 5th Floor, New",0,ham
12,Andres Soto â€“ Shop now for the best gifts from around the world. View Online RETURN SHIPPING&#39;S ON US Learn More &amp; See Limitations* RETURN SHIPPING&#39;S ON US Learn More &amp; See Limitations*,0,ham
13,Free Gift w/ $125 Purchase Promo Code: MOM View on Webpage Murad Logo Anti-Aging Acne Products All Products Offers Free Gift FB TW Pin IG G+ YT Blog Samples Beauty Rewards Questions Login Contact Us,1,spam
14,"View online Apply Now* *By applying you agree that, if approved, Synchrony Bank may provide you with a PayPal Extras Mastercard or, as available, a PayPal Platinum MastercardÂ® account. See additional",0,ham
15,"Final call: Save on essential suits &amp; non-iron shirts. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Instagram Facebook Twitter Help &amp; FAQ&#39;s | 1-877-294-7737 | Returns Bonobos, Inc. 45 W.",0,ham
16,Are you Ready for the Greatest Rivalry in Sports? View in browser El Clasico Returns Countdown is Here Barcelona and Real Madrid Fight Again Enjoy fuboTV with our Apps You received this email because,0,ham
17,Are you Ready for the Greatest Rivalry in Sports? View in browser El Clasico Returns Countdown is Here Barcelona and Real Madrid Fight Again Enjoy fuboTV with our Apps You received this email because,0,ham
18,"Our favorites, hand-picked for you. CURATED &amp; TOP-RATED We thought of you when we saw these items. They have your perfect fit written all over them. SHOP NOW SHOP NOW Washed Chinos Jet Blues SHOP",0,ham
19,View on Webpage Murad Logo Anti-Aging Acne Products All Products Offers Blue Light Blue Light Blue Light City Skin FB TW Pin IG G+ YT Blog Samples Beauty Rewards Questions Login Contact Us Store,1,spam
20,"Pick your new favorite pair. FREE SHIPPING &amp; RETURNS IN THE US Bonobos Instagram Facebook Twitter Help &amp; FAQ&#39;s | 1-877-294-7737 | Returns Bonobos, Inc. 45 W. 25th Street 5th Floor, New York",0,ham
21,RockAuto Newsletter April 2017 Hello All RockAuto Customers! See what&#39;s new at RockAuto http://www.rockauto.com/Newsletter in the April Newsletter. This month read about: Melling Engine Parts,1,spam
22,Save $60 when you buy 3 polos. FREE SHIPPING &amp; RETURNS IN THE US Bonobos GET 3 POLOS FOR $144 -- Savings of $60 -- USE CODE POLOTRIO Shop Yarn Spun Shop Summer Weight Shop LA Shop Classic Pique,0,ham
